Circuito,País,Fecha Inicio,Año,Cancelado
Melbourne,Australia,2025-03-16T04:00:00+00:00,2025,False
Shanghai,China,2025-03-22T03:00:00+00:00,2025,False
Shanghai,China,2025-03-23T07:00:00+00:00,2025,False
Suzuka,Japan,2025-04-06T05:00:00+00:00,2025,False
Sakhir,Bahrain,2025-04-13T15:00:00+00:00,2025,False
Jeddah,Saudi Arabia,2025-04-20T17:00:00+00:00,2025,False
Miami,United States,2025-05-03T16:00:00+00:00,2025,False
Miami,United States,2025-05-04T20:00:00+00:00,2025,False
Imola,Italy,2025-05-18T13:00:00+00:00,2025,False
Monte Carlo,Monaco,2025-05-25T13:00:00+00:00,2025,False
Catalunya,Spain,2025-06-01T13:00:00+00:00,2025,False
Montreal,Canada,2025-06-15T18:00:00+00:00,2025,False
Spielberg,Austria,2025-06-29T13:00:00+00:00,2025,False
Silverstone,United Kingdom,2025-07-06T14:00:00+00:00,2025,False
Spa-Francorchamps,Belgium,2025-07-26T10:00:00+00:00,2025,False
Spa-Francorchamps,Belgium,2025-07-27T13:00:00+00:00,2025,False
Hungaroring,Hungary,2025-08-03T13:00:00+00:00,2025,False
Zandvoort,Netherlands,2025-08-31T13:00:00+00:00,2025,False
Monza,Italy,2025-09-07T13:00:00+00:00,2025,False
Baku,Azerbaijan,2025-09-21T11:00:00+00:00,2025,False
Singapore,Singapore,2025-10-05T12:00:00+00:00,2025,False
Austin,United States,2025-10-18T17:00:00+00:00,2025,False
Austin,United States,2025-10-19T19:00:00+00:00,2025,False
Mexico City,Mexico,2025-10-26T20:00:00+00:00,2025,False
Interlagos,Brazil,2025-11-08T14:00:00+00:00,2025,False
Interlagos,Brazil,2025-11-09T17:00:00+00:00,2025,False
Las Vegas,United States,2025-11-23T04:00:00+00:00,2025,False
Lusail,Qatar,2025-11-29T14:00:00+00:00,2025,False
Lusail,Qatar,2025-11-30T16:00:00+00:00,2025,False
Yas Marina Circuit,United Arab Emirates,2025-12-07T13:00:00+00:00,2025,False
